Inspection_ID,DBA_Name,AKA_Name,License_#,Facility_Type,Risk,Address,City,State,Zip,Inspection_Date,Inspection_Type,Results
2544762,HAYWOOD TAVERN,HAYWOOD TAVERN,2321000.0,Restaurant*,Risk 1 (High),2759 W AUGUSTA BLVD ,CHICAGO,IL,60622.0,11/29/2021,Canvass,Out of Business
2534920,SUBWAY,SUBWAY,2646445.0,Restaurant,Risk 1 (High),300 E RANDOLPH ST ,CHICAGO,ILxa,60601.0,10/19/2021,Non-Inspection,No Entry
2544360,LONGACRE,LONGACRE,2609722.0,Restaurant,Risk 1 (High),1303-1309 W WILSON AVE ,CHICAGO,IL,60640.0,11/17/2021,Canvass,Out of Business
2538176,NELLA PIZZA PASTA,NELLA PIZZA PASTA,2523426.0,Restaurant,Risk 1 (High),1125 E 55TH ST ,CHICAGO,ILxa,60615.0,11/15/2021,Complaint Re-Inspection,Pass
2538044,MA GONG & LA POx,MA GONG & LA PO,2120933.0,Restaurant,Risk 1 (High),2215 S WENTWORTH AVE ,CHICAGO,IL,60616.0,11/10/2021,Canvass,Out of Businessee
2537356,MCDONALDS #4655,MCDONALDS #4655,33146.0,Restaurant,Risk 2 (Medium),4334 W 26TH ST ,CHICAGO,IL,60623.0,10/27/2021,Short Form Complaint,Pass
2534709,PROGOx,TRUENORTH,2405682.0,Restaurant,Risk 2 (Medium),5507 N CLARK ST ,CHICAGO,IL,60640.0,10/13/2021,Canvass,Out of Business
2534428,STELLA'S DINER,STELLA'S DINER,3769.0,Restaurant,Risk 1 (High),3042 N BROADWAY ,xCHICAGO,IL,60657.0,10/06/2021,Canvass,Out of Business
2532133,NAMIT CAFE AND RESTAURANT,NAMIT CAFE,2812962.0,Restaurant*,Risk 1 (High),2114 W LAWRENCE AVE ,CHICAGO,IL,60625.0,09/30/2021,License,Pass
2532041,THE DUCK INNx,THE DUCK INN,2254274.0,Restaurant,Risk 1 (High),x2701 S ELEANOR ST ,CHICAGO,IL,60608.0,09/29/2021,Canvass,No Entryee
2531998,FINKI ELEMENTARY ACADEMY,FINKI ELEMENTARY ACADEMY,23541.0,School,Risk 1 (High),2332 S Western (2400W) ,CHICAGO,IL,60608.0,09/28/2021,Canvass,Passee
2531868,HUERTA FOOD STORE,HUERTA FOOD STORE,1964056.0,Grocery Store,Risk 3 (Low),6509 S KEDZIE AVE ,CHICAGO,IL,60629.0,09/24/2021,Canvass,Out of Business
2531751,HERITAGE PLAZA,HERITAGE PLAZA,1165431.0,Restaurant,Risk 1 (High),1500 W 95TH ST ,CHICAGO,ILxa,60643.0,09/22/2021,Non-Inspection,No Entry
2531617,Carson (Old),Carson (Old),22601.0,School*,Risk 1 (High),x5516 S Maplewood (2532W) AVE ,chicago,IL,60629.0,09/20/2021,Canvass,Passee
2531517,ALPANA,ALPANA,2807977.0,Restaurant,Risk 3 (Low),831 N STATE ST ,CHICAGO,IL,60610.0,09/16/2021,License,Fail
2531389,MILLION'S CRABx,MILLION'S CRAB,2786766.0,Restaurant,Risk 1 (High),7519 S CICERO AVE ,CHICAGO,IL,60652.0,09/14/2021,License,Fail
2529170,ATRIUM EVENTS,ATRIUM EVENTS,2808147.0,Restaurant,Risk 1 (High),x4325-4343 N RAVENSWOOD AVE ,CHICAGO,IL,60613.0,09/09/2021,License,Pass
2529080,OMBUDSMAN,OMBUDSMAN,3247127.0,School*,Risk 3 (Low),2401 W CONGRESS ST ,CHICAGO,IL,60612.0,09/07/2021,Canvass,Pass
2528844,MAGONGLAPO,,2807884.0,,Risk 1 (High),2002 S WENTWORTH ,CHICAGO,ILxa,60616.0,08/31/2021,License,Not Ready
2528504,CHEAP TART BAKERY LLC,SPINNING J,2803740.0,Bakery,Risk 1 (High),1000 N CALIFORNIA AVE ,CHICAGO,IL,60622.0,08/24/2021,License,Failee
2528437,SUSHI DOKKU,SUSHI DOKKU,2703701.0,Restaurant,Risk 1 (High),15 W WASHINGTON ST ,CHICAGO,IL,60602.0,08/24/2021,License,Pass
2524009,THAT'S A BURGER,THAT'S A BURGER,2803440.0,Restaurant,Risk 1 (High),8301 S STONY ISLAND AVE ,CHICAGO,IL,60617.0,08/13/2021,License,Pass
2523913,HALAL DZ HOUSE INC,HALAL DZ HOUSE,2803392.0,Restaurant,Risk 1 (High),x5753 W BELMONT AVE ,CHICAGO,IL,60634.0,08/11/2021,License,No Entry
2523743,LEMONS ENTERPRISES INC.x,LEM'S BAR-B-Q,34368.0,Restaurant,Risk 1 (High),311 E 75TH ST ,CHICAGO,IL,60619.0,08/06/2021,Short Form Complaint,Pass
2523461,AMAZCAKES,AMAZCAKES,2622136.0,Bakery,Risk 2 (Medium),937 N ASHLAND AVE ,CHICAGO,IL,60622.0,07/30/2021,Non-Inspection,No Entry
2523410,DAK,DAK,2177113.0,Restaurant,Risk 1 (High),1104 W GRANVILLE AVE ,CHICAGO,IL,60660.0,07/29/2021,Non-Inspection,No Entryee
2522771,goPuff,goPuff,2786043.0,Grocery Store,Risk 3 (Low),3118 N HARLEM AVE ,CHICAGO,IL,60634.0,07/15/2021,License,Pass
2522406,SUGAR MOON,,2797264.0,Bakery,Risk 2 (Medium),3612 W WRIGHTWOOD AVE ,xCHICAGO,IL,60647.0,07/07/2021,License,Not Ready
2522597,G & N SNACK SHOP,G & N THE KING OF BREAKFAST,3833.0,Restaurant,Risk 1 (High),5100 W NORTH AVE ,CHICAGO,IL,60639.0,07/02/2021,Non-Inspection,No Entryee
2522091,CHINELAS,MACANUDO MATE,2678283.0,Restaurant,Risk 1 (High),108 N STATE ST ,CHICAGO,IL,60602.0,06/29/2021,Canvass,Out of Business
2521574,KREATIVE KIDZ ACADEMY V INC.,KREATIVE KIDZ ACADEMY V INC.,2636830.0,Daycare (Under 2 Years),Risk 1 (High),4748 S ASHLAND AVE ,CHICAGO,IL,60609.0,06/18/2021,Canvass,Out of Business
2521559,AFC SUSHI @ TONY'S FINER FOODS,AFC SUSHI @ TONY'S FINER FOODS,2328295.0,Grocery Store,Risk 1 (High),5233 N LINCOLN AVE ,xCHICAGO,IL,60625.0,06/18/2021,Canvass,Pass
2521485,GOLD COAST DOGS,GOLD COAST DOGS,2522712.0,Restaurant,Risk 1 (High),5700 S CICERO AVE ,CHICAGO,IL,60638.0,06/17/2021,Canvass,Out of Business
2521458,AU BON PAIN,AU BON PAIN,1980004.0,Restaurant,Risk 1 (High),5841 S MARYLAND AVE ,CHICAGO,IL,60637.0,06/17/2021,Canvass,Out of Business
2521396,TRIVOLI TAVERN,TRIVOLI TAVERN,2786457.0,Restaurant,Risk 3 (Low),119 N PEORIA ST ,CHICAGO,IL,60607.0,06/15/2021,License,Pass
2511182,THE OGDEN,THE OGDEN,1820597.0,Restaurant*,Risk 1 (High),1659 W OGDEN AVE ,CHICAGO,IL,60612.0,06/11/2021,Non-Inspection,No Entry
2521227,FURIOUS SPOON,FURIOUS SPOON,2551072.0,Restaurant,Risk 1 (High),800 W BELMONT AVE ,CHICAGO,IL,60657.0,06/11/2021,Canvass,Fail
2511138,KESHA'S PLACE,KESHA'S PLACE,2646580.0,Restaurant,Risk 2 (Medium),3620 W 16TH ST ,CHICAGO,IL,60623.0,06/10/2021,Non-Inspection,No Entry
2511026,BILL'S BAR & BURGER,BILL'S BAR & BURGER,2575277.0,Restaurant,Risk 1 (High),30 E HUBBARD ST ,xCHICAGO,IL,60611.0,06/09/2021,Canvass,Out of Business
2510971,THE ANGRY CRAB,THE ANGRY CRAB,2379885.0,Restaurant,Risk 1 (High),x5665 N LINCOLN AVE ,CHICAGO,IL,60659.0,06/08/2021,Non-Inspection,No Entryee
2510840,INSPIRED CATERING & EVENTS,INSPIRED CATERING & EVENTS,1514514.0,Restaurant,Risk 1 (High),x1300 W HUBBARD ST ,CHICAGO,IL,60642.0,06/07/2021,Canvass Re-Inspection,Pass
2510712,ORIOLE,ORIOLE,2781336.0,Restaurant,Risk 3 (Low),661 W WALNUT ST ,CHICAGO,ILxa,60661.0,06/02/2021,License,Not Readyee
2510419,PARSON'S CHICKEN & FISH,PARSON'S CHICKEN & FISH,2770935.0,Restaurant,Risk 1 (High),5721-5723 N CLARK ST ,xCHICAGO,IL,60660.0,05/27/2021,License,Passee
2510368,"FRUTERIA FAVELA, INC.","FRUTERIA FAVELA, INC",2583763.0,Grocery Store,Risk 1 (High),x4801 S WOLCOTT AVE ,CHICAGO,IL,60609.0,05/26/2021,Canvass Re-Inspection,Pass
2510360,NEW STEVE'S PLACE,STEVE'S PLACE,2349269.0,Restaurant,Risk 1 (High),230 W CHICAGO AVE ,xCHICAGO,ILxa,60654.0,05/26/2021,Canvass,Out of Business
2510305,PRIME & PROVISIONSx,PRIME & PROVISIONS,2333469.0,Restaurant,Risk 1 (High),222 N LA SALLE ST ,CHICAGO,IL,60601.0,05/25/2021,Canvass,Out of Business
2510271,SAM FOOD & GROCERY,SAM FOOD & GROCERY,2786703.0,Grocery Store,All,628 S PULASKI RD ,CHICAGO,ILxa,60624.0,05/25/2021,License,No Entry
2510260,BACOLOD CHICKEN HOUSE LLC,BACOLOD CHICKEN HOUSE,2757176.0,Restaurant,Risk 1 (High),x6320 N LINCOLN AVE ,CHICAGO,IL,60659.0,05/25/2021,Non-Inspection,No Entry
2510230,NEVERIA LA POBLANITA INC.,NEVERIA LA POBLANITA INC.,2771504.0,Restaurant,Risk 1 (High),2749 W 71ST ST ,CHICAGO,IL,60629.0,05/25/2021,License Re-Inspection,Passee
2510128,NEW LOVE TERIYAKI,NEW LOVE TERIYAKI,2114749.0,Restaurant,Risk 1 (High),3901 S CALIFORNIA AVE ,CHICAGO,IL,60632.0,05/21/2021,Canvass Re-Inspection,Pass
2510049,EPIC BURGER,EPIC BURGER,2129721.0,Restaurant,Risk 1 (High),x227 E ONTARIO ST ,CHICAGO,IL,60611.0,05/20/2021,Canvass,Out of Business
2510104,Levy Restaurants at Wrigley Fieldx,FANNIE MAY SUITE/CREE LIGHTING CLUB/SUITE PANTRIES,1120541.0,Restaurant,Risk 2 (Medium),x1060 W ADDISON ST ,xCHICAGO,ILxa,60613.0,05/20/2021,Canvass,Pass
2509964,Sushi Placex,Sushi Place,2749200.0,Restaurant,Risk 1 (High),4701 W LAWRENCE AVE ,CHICAGO,IL,60630.0,05/19/2021,Canvass Re-Inspection,Pass
2509826,LA CONCHA BAKERY,LA CONCHA,2458749.0,Bakery*,Risk 2 (Medium),3858 S CALIFORNIA AVE ,xCHICAGO,IL,60632.0,05/17/2021,Complaint,No Entry
2509643,MATILDA,MATILDA/BABY ATLAS,44826.0,Restaurant,Risk 1 (High),3101 N SHEFFIELD AVE ,CHICAGO,IL,60657.0,05/12/2021,Canvass,Failee
2509619,47th NUTRITION,,2786354.0,,,1942 W 47TH ST ,,IL,,05/12/2021,License,Not Ready
2509605,LOS MANGOS AVERS,LOS MANGOS,2616693.0,Restaurant,Risk 1 (High),x3058 S AVERS AVE ,CHICAGO,IL,60623.0,05/12/2021,Canvass,Pass
2509540,RICOBENE'Sx,RICOBENE'S,2776544.0,Restaurant,Risk 1 (High),258-260 W 26TH ST ,CHICAGO,IL,60616.0,05/11/2021,License Re-Inspection,Passee
2509478,DISNEY II,DISNEY II MAGNET,26921.0,School*,Risk 1 (High),3815 N Kedvale (4134W) ,CHICAGO,IL,60641.0,05/11/2021,Canvass,Pass
2509378,GOOD FORTUNE,GOOD FORTUNE,2350089.0,Restaurant,Risk 1 (High),2528 N CALIFORNIA AVE ,CHICAGO,IL,60647.0,05/07/2021,Canvass,Out of Business
2509232,TRANSPORTATION CENTER,TRANSPORTATION CENTER/SNACK SHOP,1909531.0,Restaurant,Risk 2 (Medium),11601 W TOUHY AVE ,xCHICAGO,IL,60666.0,05/05/2021,Canvass,Out of Business
2501165,STONE CREEK COFFEEx,STONE CREEK COFFEE,2641268.0,Restaurant,Risk 2 (Medium),939 W BELMONT AVE ,CHICAGO,IL,60657.0,05/05/2021,Canvass,Out of Businessee
2493138,HOLY ANGELS SCHOOL,HOLY ANGELS SCHOOL,2052716.0,School,Risk 1 (High),x750 E 40TH ST ,xCHICAGO,IL,60653.0,03/19/2021,Canvass,Pass
2501015,HAI YEN,HAI YEN,10235.0,Restaurant,Risk 1 (High),x1055 W ARGYLE ST ,CHICAGO,IL,60640.0,05/03/2021,Canvass,Fail
2500905,SWISS AIR,SWISS AIR LOUNGE (DEPARTURE (M9),2487938.0,Restaurant,Risk 1 (High),11601 W TOUHY AVE ,CHICAGO,IL,60666.0,04/29/2021,Canvass,Out of Business
2500756,LUCKY STRIKE,LUCKY STRIKE,2609815.0,Restaurant,Risk 1 (High),1025 W ADDISON ST ,CHICAGO,ILxa,60613.0,04/26/2021,Canvass,Out of Business
2500653,CUCINA 3 INC,CUCINA 3,2642344.0,Restaurant,Risk 1 (High),4630 N CUMBERLAND AVE ,xCHICAGO,IL,60656.0,04/23/2021,Canvass Re-Inspection,Pass
2500551,STUMPTOWN COFFEE CORP,LOVAGE,2563999.0,Restaurant,Risk 2 (Medium),311 N MORGAN ST ,CHICAGO,IL,60607.0,04/21/2021,Canvass,Out of Business
2500445,LOZANO ELEMENTARY,LOZANO ELEMENTARY,24102.0,School,Risk 1 (High),1501 N Greenview ST ,CHICAGO,ILxa,60622.0,04/20/2021,Canvass,Pass
2500305,7-ELEVEN #38948H,7-ELEVEN,2738590.0,Grocery Store,Risk 2 (Medium),2366 N DAMEN AVE ,CHICAGO,IL,60647.0,04/16/2021,Canvass,Out of Business
2500296,LASALLE ll LANGUAGE MAGNET SCHOOLx,LASALLE ll MAGNET SCHOOL,3132634.0,School*,Risk 1 (High),1148 N Honore ST ,CHICAGO,IL,60622.0,04/16/2021,Canvass,Pass
2500249,ZOEY'S COFFEE HOUSE,ZOEY'S COFFEE HOUSE,2776248.0,Restaurant*,Risk 2 (Medium),5008 N LINCOLN AVE ,CHICAGO,IL,60625.0,04/15/2021,License,Not Ready
2500216,PANINI PIAZZA,PANINI PIAZZA,2442466.0,Restaurant,Risk 2 (Medium),7850 W ADDISON ST ,CHICAGO,IL,60634.0,04/14/2021,Canvass,Out of Business
2500251,TAQUERIA PRIMO CHUKIS UPTOWN,RESTAURANT Y TAQUERIA PRIMO  CHUKIS UPTOWN,2589015.0,Restaurant,Risk 1 (High),1708-1710 W LAWRENCE AVE ,CHICAGO,IL,60640.0,04/14/2021,Canvass Re-Inspection,Pass
2498186,HOLIDAY INN CHICAGO O'HARE,HOLIDAY INN/BAR LOUIE,1518913.0,Restaurant,Risk 1 (High),5615 N CUMBERLAND AVE ,CHICAGO,IL,60631.0,04/13/2021,Complaint,Fail
2498179,LITTLE CAESAR PIZZA #1643,LITTLE CAESAR 'S PIZZA,2222.0,Restaurant*,Risk 2 (Medium),5608 W IRVING PARK RD ,CHICAGO,ILxa,60634.0,04/13/2021,Canvass,Fail
2498135,MR. SUBMARINE,MR. SUBMARINE,26517.0,Restaurant,Risk 1 (High),37 N WELLS ST ,CHICAGO,IL,60606.0,04/12/2021,Canvass,Out of Business
2497558,LUXURY CAKE,LUXURY CAKE,2574586.0,Bakery,Risk 1 (High),2150 S CANALPORT AVE ,CHICAGO,ILxa,60608.0,03/30/2021,Non-Inspection,No Entryee
2492674,CHICAGO WESTSIDE CHRISTIAN SCHOOL,CHICAGO WESTSIDE CHRISTIAN SCHOOL,2042653.0,School,Risk 1 (High),1240 S PULASKI RD ,CHICAGO,IL,60623.0,03/10/2021,Canvass,Pass
2497747,SUNFLOUR BAKERY AND CAFE,SUNFLOUR BAKERY AND CAFE,2780615.0,Bakery,Risk 2 (Medium),4250 N MARINE DR ,CHICAGO,IL,60613.0,04/05/2021,License,Pass
2497741,EN PASSANTx,EN PASSANT,2776378.0,Restaurant,Risk 1 (High),3010 W DIVERSEY AVE ,CHICAGO,IL,60647.0,04/05/2021,License Re-Inspection,Pass
2497594,GBD Cakes and Sweets,GBD Cakes and Sweets,2780649.0,Bakery,Risk 2 (Medium),3412 W 79TH ST ,CHICAGO,IL,60652.0,03/31/2021,License,No Entry
2497349,CHACHA MACHLIWALA,CHACHA MACHLIWALA,2780708.0,Restaurant*,Risk 1 (High),6348 N ARTESIAN AVE ,xCHICAGO,IL,60659.0,03/25/2021,License,Not Ready
2497249,BELLA! BACINO'Sx,BELLA! BACINO'S,2647136.0,Restaurant,Risk 1 (High),66 E WACKER PL ,CHICAGO,IL,60601.0,03/22/2021,Canvass,Out of Business
2493084,SHAKE SHACK,SHAKE SHACK,2328140.0,Restaurant,Risk 2 (Medium),66 E OHIO ST ,CHICAGO,IL,60611.0,03/18/2021,Canvass Re-Inspection,Pass
2493047,CLUCK ITx,CLUCK IT,2776436.0,Restaurant,Risk 1 (High),x2518 N LINCOLN AVE ,CHICAGO,IL,60614.0,03/18/2021,License,Not Ready
2493035,VIP'S A GENTLEMENS CLUBx,VIP'S A GENTLEMENS CLUB,28268.0,,Risk 3 (Low),1531 N KINGSBURY ST ,CHICAGO,IL,60622.0,03/17/2021,Canvass,Out of Business
2492951,SUBWAY,SUBWAY,2470205.0,Restaurant,Risk 1 (High),6555 N CLARK ST ,CHICAGO,IL,60626.0,03/16/2021,Canvass,Passee
2492928,LYMAN A BUDLONG ELEMENTARY,BUDLONG ELEMENTARY SCHOOL,22391.0,School,Risk 1 (High),2701 W FOSTER AVE ,CHICAGO,IL,60625.0,03/16/2021,Canvass,Pass
2492921,MISERICORDIA LONG TERM CARE,MISERICORDIA LONG TERM CARE,2205580.0,Long Term Care,Risk 1 (High),6300 N RIDGE AVE ,CHICAGO,IL,60660.0,03/16/2021,Canvass,Pass
2492872,NOVA PIZZA,NOVA PIZZA,52447.0,Restaurant*,Risk 1 (High),x5849 S PULASKI RD ,xCHICAGO,IL,60629.0,03/15/2021,Complaint,Pass
2492550,EPIPHANY ELEMENTARY SCHOOL,EPIPHANY SCHOOL,1878452.0,School,Risk 1 (High),x4223 W 25TH ST ,CHICAGO,IL,60623.0,03/08/2021,Canvass,Pass
2492836,MARKET THYME,MARKET THYME,2147200.0,Restaurant*,Risk 1 (High),x200 E RANDOLPH ST ,CHICAGO,IL,60601.0,03/11/2021,Canvass,Out of Business
2492690,SNACK SHOP RESTAURANT,SNACK SHOP RESTAURANT,2124582.0,Restaurant,Risk 1 (High),x452 W PERSHING RD ,CHICAGO,IL,60609.0,03/10/2021,Canvass,Fail
2492563,TAQUERIA,TAQUERIA ARCHER,59961.0,Restaurant,Risk 1 (High),3617-3623 S ARCHER AVE ,CHICAGO,ILxa,60609.0,03/08/2021,Complaint,Not Ready
2492539,ROSY'S BAKERYx,ROSY'S BAKERY,39805.0,Bakery,Risk 2 (Medium),3237 W 26TH ST ,CHICAGO,IL,60623.0,03/08/2021,Complaint,No Entry
2492473,DANIEL WILLIAM HALE,DANIEL WILLIAM HALE,66311.0,School,Risk 1 (High),4934 S Wabash (45E) (C/Shabazz) ,CHICAGO,IL,60615.0,03/05/2021,Canvass,Pass
2492436,CONTE DI SAVOIA INC WEST,CONTE DI SAVOIA INC WEST,1383921.0,Restaurant,Risk 1 (High),2227 W TAYLOR ST ,CHICAGO,IL,60612.0,03/04/2021,Canvass,Out of Business
2492401,SAIGON PHO,SAIGON PHO,2771254.0,Restaurant,Risk 1 (High),3220-3222 W BRYN MAWR AVE ,CHICAGO,ILxa,60659.0,03/04/2021,License,Pass
2492223,BLACK BULL/BORDEL,BLACK BULL/BORDEL,1847326.0,Restaurant,Risk 1 (High),x1721 W DIVISION ST ,CHICAGO,IL,60622.0,02/26/2021,Non-Inspection,No Entry
2485118,LE PAIN QUOTIDIEN,LE PAIN QUOTIDIEN,2350156.0,Restaurant,Risk 1 (High),20 N MICHIGAN AVE ,CHICAGO,IL,60602.0,02/23/2021,Canvass,Out of Business
2484916,THE BATON SHOW LOUNGEx,THE BATON SHOW LOUNGE,2732891.0,Restaurant,Risk 1 (High),4703-4713 N BROADWAY ,xCHICAGO,IL,60640.0,02/18/2021,License,Fail
2484889,CAFE COLAO,CAFE COLAO,2500992.0,Restaurant,Risk 1 (High),2638 W DIVISION ST ,CHICAGO,ILxa,60622.0,02/18/2021,Canvass Re-Inspection,Pass
2484736,BEST SUBS #3 INC.,BEST SUBS #3,2431670.0,Restaurant,Risk 1 (High),5752 W BELMONT AVE ,CHICAGO,IL,60634.0,02/10/2021,Non-Inspection,No Entryee
2484656,HAYT ELEMENTARY SCHOOLx,HAYT ELEMENTARY SCHOOL,23621.0,School,Risk 1 (High),1518 W Granville (6200N) ,CHICAGO,ILxa,60660.0,02/09/2021,Canvass Re-Inspection,Pass
2484715,MARTYRS'x,MARTYRS',40864.0,Restaurant,Risk 1 (High),3855 N LINCOLN AVE ,CHICAGO,IL,60613.0,02/09/2021,Non-Inspection,No Entry
2484636,SMYLIE BROTHERS BREWING COMPANYx,SMYLIE BROTHERS BREWING COMPANY,2728612.0,Restaurant*,Risk 1 (High),3827 N BROADWAY ,CHICAGO,IL,60613.0,02/09/2021,License,Pass w/ Conditions
2484631,MUSASHI JAPANESE RESTAURANT,YEOWOOSAI,47917.0,Restaurant,Risk 1 (High),6248 N CALIFORNIA AVE ,CHICAGO,IL,60659.0,02/08/2021,Non-Inspection,No Entry
2484567,ROYALTY,ROYALTY,1306130.0,Restaurant,Risk 1 (High),3810 W 63RD ST ,CHICAGO,IL,60629.0,02/05/2021,Non-Inspection,No Entry
2484560,ROLLING  CHICAGO,ROLLING  CHICAGO,2659019.0,Restaurant,Risk 1 (High),3904 W 47TH ST ,CHICAGO,IL,60632.0,02/05/2021,Canvass Re-Inspection,Pass
2484289,"TACO IN A BAG STORE 1, LLC",TACO IN A BAG,2385581.0,Restaurant,Risk 1 (High),4603 N LINCOLN AVE ,CHICAGO,IL,60625.0,01/29/2021,Canvass,Out of Business
2484221,INTERCONTINENTAL HOTEL CHICAGO,MICHAEL JORDAN'S STEAKHOUSE,2437403.0,Restaurant,Risk 1 (High),505 N MICHIGAN AVE ,CHICAGO,IL,60611.0,01/28/2021,Non-Inspection,No Entry
2473067,SOCIALE AND CAFE PRESS,SOCIALE,2758272.0,Restaurant,Risk 3 (Low),800 S CLARK ST ,CHICAGO,IL,60605.0,01/25/2021,License,Pass
2473059,"FIRST SLICE, LLC",FIRST SLICE,1620340.0,Restaurant,Risk 1 (High),4401 N RAVENSWOOD AVE ,CHICAGO,IL,60640.0,01/25/2021,Canvass,Out of Business
2473041,ROSATI'S GRANT PARK,ROSATI'S,2762683.0,Restaurant,Risk 1 (High),x23 E ADAMS ST ,xCHICAGO,IL,60603.0,01/22/2021,License,Pass
2472990,MUI'S FEIDA BAKERY,MUI'S FEIDA BAKERY,82530.0,Restaurant,Risk 1 (High),x2228 S WENTWORTH AVE ,xCHICAGO,IL,60616.0,01/22/2021,Canvass,Fail
2472891,MIMI'S TACOS,MIMI'S TACOS,2766681.0,Restaurant,Risk 1 (High),570-572 W ROOSEVELT RD ,CHICAGO,IL,60607.0,01/20/2021,License,Not Ready
2472595,PORTO,PORTO,2636886.0,Restaurant,Risk 1 (High),1600 W CHICAGO AVE ,CHICAGO,IL,60622.0,01/12/2021,Non-Inspection,No Entryee
2472838,LIMITLESS COFFEE & TEA,LIMITLESS COFFEE & TEA,2615716.0,Restaurant,Risk 2 (Medium),150 N MICHIGAN AVE ,xCHICAGO,IL,60601.0,01/19/2021,Canvass,Out of Businessee
2472812,FIN SUSHI BAR,FIN SUSHI BAR,2079332.0,Restaurant,Risk 1 (High),1742 W WILSON AVE ,CHICAGO,ILxa,60640.0,01/19/2021,Complaint,Fail
2472754,BEST SOUTHTOWN GYROSx,BEST SOUTHTOWN GYROS,2767245.0,Restaurant*,Risk 2 (Medium),240 E 35TH ST ,xCHICAGO,IL,60616.0,01/15/2021,License,Passee
2472667,SUBWAY,SUBWAY,2003331.0,Restaurant,Risk 1 (High),3129 W ARMITAGE AVE ,CHICAGO,IL,60647.0,01/13/2021,Canvass,Pass
2472663,SUSHI MONx,SUSHI MON,2517725.0,Restaurant*,Risk 1 (High),2441 N CLARK ST ,CHICAGO,IL,60614.0,01/13/2021,Non-Inspection,No Entry
